Q,G,Fl_auto,Fl_hq,Fl_greedy,Fl_rw
10,50,0.00e+00,0.00e+00,0.00e+00,0.00e+00
10,100,2.44e+02,2.44e+02,2.44e+02,7.80e+01
10,200,1.32e+05,1.02e+05,2.29e+05,5.55e+03
10,300,5.92e+05,5.40e+05,1.13e+06,1.91e+05
15,75,0.00e+00,0.00e+00,0.00e+00,5.80e+01
15,150,6.86e+04,7.17e+04,5.23e+04,2.47e+03
15,250,6.64e+06,4.95e+06,1.30e+10,2.07e+05
15,350,1.04e+07,6.74e+06,1.29e+09,1.88e+06
20,100,0.00e+00,0.00e+00,0.00e+00,9.00e+01
20,200,1.58e+05,6.78e+04,3.78e+05,6.84e+03
20,300,4.12e+07,6.09e+06,6.14e+08,8.99e+04
20,400,6.68e+08,1.09e+08,1.03e+11,2.34e+06
25,125,0.00e+00,0.00e+00,0.00e+00,1.04e+02
25,250,4.30e+05,1.64e+05,4.92e+05,3.69e+03
25,350,1.58e+09,2.89e+08,1.75e+11,1.51e+05
25,450,4.19e+10,5.55e+09,7.59e+11,2.38e+08
